cuisine,city,device,user_segment,promo,fav_ingredient,spice_level,day_of_week,price_bucket
thai,city_1,ios,new,none,garlic,medium,Sat,mid
japanese,city_16,web,new,promo_5,ginger,extra_hot,Wed,mid
chinese,city_10,web,vip,promo_2,sesame,medium,Tue,mid
mexican,city_13,web,student,promo_2,onion,medium,Sat,mid
american,city_14,android,vip,promo_1,cheese,medium,Thu,low
italian,city_9,web,returning,promo_2,tomato,mild,Sun,mid
chinese,city_9,ios,student,promo_8,ginger,medium,Thu,mid
japanese,city_3,android,student,promo_8,ginger,extra_hot,Mon,mid
thai,city_18,web,vip,promo_6,garlic,mild,Tue,mid
american,city_4,web,returning,promo_4,lemon,none,Fri,high
mediterranean,city_2,android,returning,promo_7,yogurt,mild,Sat,mid
mexican,city_2,desktop_app,vip,promo_5,cilantro,medium,Wed,mid
japanese,city_3,web,budget,promo_2,garlic,medium,Fri,mid
vietnamese,city_3,ios,returning,promo_1,cilantro,mild,Sun,mid
mexican,city_10,android,student,promo_7,lemon,hot,Sun,mid
mediterranean,city_6,desktop_app,family,promo_7,tomato,medium,Sun,mid
italian,city_1,ios,returning,promo_7,yogurt,none,Fri,mid
korean,city_12,ios,family,promo_3,sesame,hot,Wed,mid
mexican,city_1,ios,budget,promo_5,lemon,hot,Sat,low
vietnamese,city_10,android,student,promo_7,basil,mild,Sat,high
mediterranean,city_2,tablet,student,promo_3,cheese,mild,Mon,mid
mediterranean,city_20,desktop_app,student,promo_1,oregano,mild,Fri,high
thai,city_20,ios,vip,none,garlic,mild,Thu,mid
indian,city_20,android,vip,promo_1,mint,hot,Mon,high
thai,city_14,android,family,promo_3,garlic,mild,Sun,mid
chinese,city_14,ios,budget,promo_5,garlic,medium,Tue,high
italian,city_19,desktop_app,new,promo_2,yogurt,medium,Thu,mid
mexican,city_9,web,family,promo_3,lemon,medium,Wed,high
mexican,city_19,ios,vip,promo_7,lemon,hot,Tue,mid
chinese,city_7,ios,new,promo_6,ginger,medium,Fri,very_high
italian,city_12,ios,student,promo_4,oregano,mild,Sun,very_high
vietnamese,city_15,ios,student,promo_2,garlic,hot,Thu,mid
korean,city_2,web,vip,none,ginger,medium,Sun,mid
american,city_4,ios,returning,promo_3,tomato,mild,Mon,mid
korean,city_11,android,new,promo_4,miso,none,Wed,high
japanese,city_17,android,student,promo_4,sesame,mild,Sun,mid
chinese,city_7,ios,student,promo_7,soy,hot,Thu,mid
chinese,city_9,ios,family,promo_2,miso,mild,Tue,high
chinese,city_11,web,returning,none,miso,medium,Mon,mid
vietnamese,city_18,web,student,promo_4,garlic,medium,Wed,low
indian,city_5,ios,budget,promo_8,cumin,hot,Wed,very_high
korean,city_17,web,vip,none,ginger,none,Tue,mid
american,city_19,android,returning,none,tomato,none,Fri,low
mediterranean,city_19,android,new,promo_4,oregano,mild,Wed,mid
american,city_2,web,budget,promo_2,onion,extra_hot,Mon,low
chinese,city_11,web,returning,promo_5,ginger,medium,Sat,mid
american,city_2,ios,student,promo_1,cheese,medium,Sat,low
indian,city_3,web,vip,promo_6,mint,hot,Mon,high
indian,city_17,desktop_app,student,promo_3,cumin,hot,Sat,mid
japanese,city_12,ios,returning,promo_1,ginger,none,Mon,mid
japanese,city_3,web,returning,promo_8,soy,hot,Sun,mid
indian,city_10,android,vip,promo_4,onion,medium,Wed,mid
american,city_5,web,vip,none,garlic,hot,Tue,mid
thai,city_11,ios,new,promo_6,fish_sauce,mild,Sat,low
mediterranean,city_2,desktop_app,vip,promo_1,cheese,mild,Sun,high
american,city_19,web,vip,promo_2,cheese,mild,Tue,high
thai,city_1,ios,returning,promo_3,garlic,medium,Wed,mid
thai,city_15,android,new,promo_8,garlic,medium,Tue,mid
indian,city_8,web,budget,promo_1,turmeric,medium,Wed,mid
indian,city_17,web,budget,none,mint,extra_hot,Thu,high
italian,city_4,tablet,family,promo_3,tomato,none,Sat,high
mediterranean,city_8,desktop_app,student,promo_7,oregano,mild,Tue,mid
italian,city_8,ios,returning,promo_3,yogurt,mild,Thu,high
japanese,city_10,ios,returning,promo_8,ginger,extra_hot,Tue,mid
mexican,city_7,android,vip,promo_1,tomato,medium,Sun,mid
italian,city_15,android,new,promo_3,tomato,none,Wed,mid
vietnamese,city_1,android,returning,promo_1,garlic,mild,Mon,low
indian,city_11,desktop_app,budget,promo_3,mint,hot,Sun,mid
chinese,city_2,ios,budget,promo_8,miso,hot,Fri,mid
japanese,city_16,ios,budget,promo_6,soy,medium,Thu,mid
american,city_5,web,budget,promo_2,onion,none,Sun,mid
indian,city_16,tablet,student,none,turmeric,medium,Thu,very_high
thai,city_3,ios,vip,none,lemon,mild,Thu,mid
mexican,city_11,ios,budget,promo_3,cilantro,medium,Thu,low
chinese,city_8,ios,new,promo_4,soy,extra_hot,Wed,very_high
american,city_18,android,budget,promo_4,onion,mild,Fri,mid
indian,city_11,desktop_app,vip,promo_7,cumin,extra_hot,Tue,mid
chinese,city_2,ios,budget,promo_5,sesame,mild,Tue,mid
mexican,city_6,ios,budget,promo_2,lemon,hot,Thu,mid
thai,city_20,ios,returning,promo_3,basil,medium,Thu,low
thai,city_8,ios,returning,promo_6,basil,medium,Sun,mid
mexican,city_2,ios,budget,promo_2,lemon,medium,Thu,low
mexican,city_18,desktop_app,new,promo_1,onion,mild,Sun,mid
thai,city_2,android,budget,promo_1,basil,hot,Wed,low
chinese,city_12,ios,budget,none,garlic,hot,Tue,mid
mediterranean,city_12,tablet,vip,promo_5,basil,mild,Sun,high
american,city_17,web,budget,promo_6,cheese,hot,Sun,mid
italian,city_16,tablet,student,promo_6,cheese,none,Sun,high
mediterranean,city_16,web,returning,promo_8,tomato,mild,Thu,mid
japanese,city_5,web,student,promo_4,soy,hot,Sun,high
mediterranean,city_1,ios,budget,promo_8,oregano,none,Tue,high
chinese,city_14,web,vip,none,sesame,hot,Fri,high
italian,city_18,ios,budget,promo_8,lemon,medium,Sun,mid
japanese,city_19,web,vip,promo_7,miso,mild,Fri,mid
indian,city_2,web,student,promo_1,yogurt,hot,Thu,mid
chinese,city_5,ios,returning,promo_6,garlic,hot,Sat,very_high
vietnamese,city_10,web,student,promo_6,lemon,medium,Sun,high
american,city_3,ios,new,promo_3,tomato,none,Thu,high
mexican,city_9,tablet,new,promo_8,cilantro,medium,Tue,low
korean,city_1,ios,student,promo_2,garlic,extra_hot,Wed,mid
american,city_17,android,returning,promo_3,cheese,medium,Thu,mid
vietnamese,city_9,web,budget,promo_5,cilantro,mild,Fri,low
mexican,city_20,desktop_app,student,promo_6,chili,mild,Sun,low
thai,city_9,ios,budget,promo_4,basil,mild,Mon,mid
mediterranean,city_4,tablet,student,promo_7,oregano,mild,Fri,very_high
thai,city_5,ios,new,promo_3,cilantro,medium,Thu,low
thai,city_12,android,budget,promo_8,fish_sauce,medium,Tue,mid
american,city_20,web,family,promo_6,tomato,hot,Sat,mid
korean,city_4,ios,vip,promo_2,ginger,mild,Tue,high
indian,city_3,desktop_app,budget,promo_7,onion,medium,Sun,very_high
italian,city_16,web,budget,promo_3,yogurt,mild,Sun,mid
mexican,city_20,web,student,promo_3,tomato,mild,Sun,low
korean,city_14,android,family,promo_4,garlic,medium,Thu,very_high
chinese,city_7,web,vip,promo_8,sesame,medium,Tue,mid
american,city_18,android,new,promo_3,onion,mild,Wed,mid
vietnamese,city_4,android,student,promo_1,garlic,medium,Thu,low
italian,city_17,tablet,returning,promo_3,basil,mild,Fri,mid
thai,city_19,ios,student,promo_3,garlic,mild,Sun,mid
indian,city_7,web,new,none,yogurt,hot,Mon,mid
chinese,city_3,android,vip,promo_5,sesame,medium,Mon,mid
mexican,city_6,ios,student,none,chili,hot,Thu,high
chinese,city_6,ios,budget,promo_5,miso,extra_hot,Wed,mid
vietnamese,city_12,ios,budget,promo_7,garlic,medium,Fri,low
indian,city_20,desktop_app,new,promo_3,onion,extra_hot,Wed,high
japanese,city_1,android,budget,promo_2,miso,mild,Fri,mid
japanese,city_19,ios,student,promo_8,miso,none,Thu,high
american,city_7,ios,budget,promo_8,garlic,hot,Mon,high
italian,city_16,android,returning,promo_4,basil,none,Wed,mid
mexican,city_4,web,family,promo_6,tomato,mild,Tue,low
italian,city_11,tablet,budget,promo_8,basil,medium,Sun,high
mediterranean,city_20,ios,family,none,tomato,mild,Sat,mid
chinese,city_10,web,family,promo_2,miso,hot,Fri,mid
korean,city_2,web,returning,promo_5,garlic,none,Tue,mid
american,city_2,web,budget,promo_2,lemon,none,Wed,low
mexican,city_1,android,family,promo_8,tomato,hot,Mon,high
mediterranean,city_5,ios,vip,promo_3,tomato,mild,Wed,mid
chinese,city_10,web,family,promo_8,miso,medium,Sat,mid
thai,city_16,android,budget,promo_7,lemon,hot,Sun,mid
mexican,city_14,tablet,family,promo_1,cilantro,hot,Sat,mid
chinese,city_4,ios,family,none,soy,medium,Sat,mid
mexican,city_12,desktop_app,family,promo_4,lemon,mild,Sun,mid
american,city_2,android,returning,none,tomato,medium,Wed,high
vietnamese,city_19,ios,vip,promo_8,garlic,medium,Fri,low
italian,city_3,web,student,promo_6,basil,mild,Mon,mid
chinese,city_11,web,returning,promo_1,miso,none,Sun,mid
korean,city_1,web,new,promo_5,miso,none,Fri,mid
mexican,city_3,ios,new,promo_2,lemon,medium,Sun,mid
thai,city_13,web,new,promo_2,cilantro,medium,Mon,mid
thai,city_7,ios,budget,promo_4,cilantro,mild,Wed,mid
mexican,city_16,web,budget,promo_3,tomato,mild,Sat,mid
american,city_8,ios,family,none,garlic,medium,Tue,mid
chinese,city_10,android,new,promo_6,sesame,none,Sat,high
italian,city_7,tablet,new,none,tomato,none,Fri,mid
american,city_14,ios,family,promo_6,tomato,hot,Sun,low
mediterranean,city_11,desktop_app,family,promo_8,tomato,none,Tue,mid
mediterranean,city_1,web,student,promo_1,oregano,mild,Wed,mid
american,city_17,ios,new,none,garlic,medium,Sat,low
mexican,city_12,android,budget,promo_8,lemon,medium,Sun,high
korean,city_16,ios,vip,promo_7,soy,extra_hot,Sun,high
vietnamese,city_11,android,student,promo_3,garlic,medium,Tue,low
american,city_10,web,family,promo_8,cheese,hot,Wed,high
thai,city_13,android,new,promo_5,basil,medium,Sun,low
indian,city_17,android,new,promo_7,turmeric,hot,Thu,mid
mexican,city_13,android,returning,promo_3,lemon,hot,Fri,mid
chinese,city_10,web,budget,promo_1,ginger,none,Sun,mid
american,city_4,web,budget,promo_2,garlic,none,Sun,mid
japanese,city_4,ios,new,promo_7,garlic,mild,Thu,mid
mediterranean,city_17,ios,family,promo_5,lemon,none,Sat,mid
chinese,city_8,ios,student,promo_1,miso,hot,Sun,mid
mexican,city_11,desktop_app,budget,promo_2,tomato,medium,Sat,low
mexican,city_7,android,returning,promo_4,chili,medium,Mon,mid
mexican,city_15,desktop_app,returning,promo_4,cilantro,hot,Wed,low
japanese,city_19,ios,student,none,sesame,medium,Sat,mid
chinese,city_7,ios,budget,promo_2,ginger,medium,Thu,mid
american,city_12,android,budget,promo_6,tomato,hot,Sat,mid
mediterranean,city_12,ios,returning,promo_8,cheese,none,Sat,very_high
italian,city_15,desktop_app,family,promo_2,tomato,medium,Sat,very_high
chinese,city_15,web,returning,none,soy,none,Sun,mid
indian,city_19,tablet,new,promo_5,yogurt,hot,Sun,mid
indian,city_4,tablet,student,none,mint,hot,Thu,high
indian,city_7,ios,budget,promo_1,yogurt,extra_hot,Tue,mid
american,city_7,android,vip,promo_7,cheese,hot,Sun,mid
american,city_17,android,returning,promo_4,onion,none,Fri,low
italian,city_7,ios,vip,promo_4,yogurt,mild,Wed,high
italian,city_13,desktop_app,budget,promo_7,cheese,none,Sun,mid
japanese,city_5,android,budget,promo_8,ginger,mild,Fri,high
thai,city_18,web,family,promo_8,fish_sauce,medium,Wed,mid
indian,city_8,tablet,budget,promo_7,turmeric,medium,Mon,high
italian,city_2,ios,vip,promo_6,oregano,mild,Mon,mid
american,city_4,android,new,promo_2,tomato,extra_hot,Thu,low
american,city_10,android,vip,promo_8,garlic,extra_hot,Sat,mid
vietnamese,city_6,ios,new,none,fish_sauce,hot,Sun,mid
thai,city_15,web,student,promo_1,fish_sauce,medium,Fri,mid
american,city_16,web,new,promo_5,tomato,hot,Mon,mid
thai,city_3,android,family,promo_2,lemon,medium,Fri,high
korean,city_14,web,returning,promo_2,soy,mild,Fri,mid
thai,city_2,web,vip,promo_2,cilantro,medium,Tue,low
italian,city_5,desktop_app,budget,promo_3,basil,none,Sun,mid
japanese,city_15,web,student,promo_3,soy,none,Fri,mid
indian,city_11,ios,returning,promo_7,turmeric,medium,Thu,mid
italian,city_3,ios,student,promo_2,yogurt,mild,Fri,very_high
japanese,city_5,web,budget,promo_4,miso,medium,Tue,mid
vietnamese,city_17,ios,student,promo_1,cilantro,medium,Wed,high
mediterranean,city_20,desktop_app,student,promo_1,oregano,medium,Mon,mid
american,city_14,web,student,promo_1,onion,mild,Sat,low
indian,city_3,desktop_app,family,promo_4,turmeric,hot,Sat,mid
vietnamese,city_14,ios,vip,promo_1,garlic,medium,Tue,low
thai,city_7,android,family,promo_1,basil,hot,Fri,mid
mexican,city_2,ios,budget,promo_5,onion,medium,Mon,low
american,city_19,web,new,promo_4,onion,none,Tue,mid
indian,city_2,desktop_app,student,promo_6,yogurt,extra_hot,Tue,high
mexican,city_3,android,new,promo_6,lemon,mild,Sat,mid
vietnamese,city_11,android,vip,promo_7,fish_sauce,medium,Wed,mid
korean,city_6,ios,student,promo_3,sesame,medium,Tue,high
thai,city_5,web,budget,promo_1,cilantro,mild,Fri,mid
chinese,city_1,ios,new,promo_2,soy,medium,Mon,mid
mediterranean,city_8,desktop_app,new,promo_1,tomato,mild,Tue,mid
japanese,city_20,android,budget,promo_8,sesame,hot,Wed,mid
chinese,city_17,web,returning,promo_3,miso,medium,Sat,high
vietnamese,city_14,android,budget,promo_6,cilantro,medium,Sat,low
thai,city_17,android,student,promo_7,fish_sauce,medium,Sat,mid
chinese,city_13,web,new,none,garlic,extra_hot,Mon,mid
japanese,city_13,ios,family,promo_1,ginger,none,Thu,high
chinese,city_20,ios,student,promo_8,soy,medium,Sun,high
italian,city_17,android,new,promo_3,yogurt,medium,Fri,mid
chinese,city_7,ios,budget,promo_2,soy,mild,Wed,high
american,city_3,web,returning,none,garlic,hot,Sun,low
vietnamese,city_2,android,student,promo_1,cilantro,hot,Fri,low
american,city_18,ios,new,promo_1,onion,mild,Tue,mid
vietnamese,city_2,ios,student,promo_7,lemon,hot,Mon,low
mediterranean,city_10,desktop_app,student,promo_1,oregano,none,Tue,high
mexican,city_3,desktop_app,budget,none,chili,medium,Sat,low
mediterranean,city_9,ios,new,promo_3,tomato,medium,Sun,very_high
american,city_15,web,family,promo_4,lemon,none,Tue,mid
american,city_1,web,returning,promo_5,cheese,hot,Mon,mid
american,city_12,android,vip,promo_6,onion,none,Fri,low
american,city_2,web,vip,promo_3,tomato,mild,Wed,mid
korean,city_5,ios,new,promo_1,soy,mild,Fri,high
chinese,city_10,ios,returning,promo_3,ginger,medium,Mon,very_high
mediterranean,city_14,web,vip,none,lemon,mild,Sat,high
american,city_1,web,returning,promo_1,cheese,none,Sun,high
chinese,city_9,ios,new,none,ginger,extra_hot,Wed,high
vietnamese,city_4,android,family,promo_8,basil,hot,Fri,low
japanese,city_11,ios,family,promo_1,garlic,mild,Wed,mid
american,city_13,web,vip,promo_4,onion,extra_hot,Sat,mid
thai,city_5,ios,vip,promo_2,fish_sauce,mild,Fri,mid
mexican,city_4,web,budget,promo_3,lemon,hot,Thu,low
american,city_11,web,returning,promo_6,tomato,extra_hot,Sat,mid
thai,city_10,ios,returning,promo_5,fish_sauce,medium,Sun,mid
chinese,city_4,web,family,promo_5,ginger,medium,Sat,high
chinese,city_6,web,vip,promo_5,ginger,mild,Sun,mid
japanese,city_11,web,returning,none,sesame,hot,Mon,mid
american,city_2,web,vip,promo_3,onion,extra_hot,Mon,low
vietnamese,city_15,android,returning,promo_5,basil,hot,Mon,low
american,city_20,web,returning,promo_3,cheese,hot,Fri,mid
mexican,city_8,ios,budget,promo_6,lemon,hot,Sat,mid
american,city_3,ios,vip,promo_7,tomato,mild,Sat,mid
indian,city_13,tablet,family,promo_2,yogurt,hot,Thu,very_high
mediterranean,city_8,desktop_app,returning,promo_4,oregano,mild,Sun,mid
american,city_2,web,student,promo_5,onion,medium,Thu,mid
indian,city_6,android,new,promo_8,turmeric,medium,Sun,high
american,city_4,web,student,promo_6,tomato,mild,Sun,low
chinese,city_20,ios,returning,promo_3,miso,mild,Wed,high
italian,city_16,web,vip,promo_3,tomato,none,Wed,very_high
american,city_20,ios,new,none,cheese,extra_hot,Wed,low
mexican,city_7,desktop_app,family,promo_4,cilantro,medium,Tue,mid
italian,city_19,ios,student,promo_1,yogurt,medium,Sat,mid
thai,city_1,ios,budget,promo_2,lemon,mild,Sat,low
mexican,city_13,desktop_app,budget,promo_6,onion,mild,Tue,low
italian,city_18,desktop_app,student,promo_7,tomato,none,Sun,very_high
mediterranean,city_13,ios,returning,none,tomato,none,Sat,very_high
vietnamese,city_8,android,student,promo_6,basil,medium,Mon,high
indian,city_2,tablet,budget,none,turmeric,medium,Sat,high
american,city_20,android,student,promo_3,garlic,none,Wed,mid
vietnamese,city_4,android,family,promo_6,lemon,mild,Thu,mid
korean,city_14,web,student,promo_2,sesame,mild,Wed,mid
indian,city_1,web,vip,promo_4,mint,medium,Mon,very_high
mexican,city_1,desktop_app,budget,promo_5,chili,mild,Thu,mid
chinese,city_7,web,new,promo_1,garlic,mild,Tue,high
american,city_3,ios,vip,promo_3,cheese,hot,Mon,mid
indian,city_1,android,budget,none,mint,medium,Mon,mid
japanese,city_10,web,budget,promo_2,garlic,mild,Sat,mid
chinese,city_7,ios,new,promo_3,ginger,mild,Sat,mid
chinese,city_14,ios,family,promo_6,soy,hot,Sat,high
vietnamese,city_10,ios,returning,promo_1,garlic,hot,Thu,mid
american,city_16,web,budget,promo_8,lemon,extra_hot,Mon,low
indian,city_7,desktop_app,returning,promo_7,onion,hot,Sun,mid
mexican,city_3,ios,returning,promo_5,cilantro,mild,Sun,mid
thai,city_20,web,vip,promo_6,cilantro,medium,Tue,mid
chinese,city_8,ios,student,promo_3,soy,none,Tue,mid
american,city_15,ios,budget,promo_5,garlic,hot,Tue,mid
indian,city_15,tablet,returning,promo_1,turmeric,extra_hot,Mon,high
mediterranean,city_20,ios,vip,promo_7,lemon,none,Tue,very_high
indian,city_1,ios,student,promo_8,yogurt,medium,Wed,high
thai,city_18,android,vip,promo_2,lemon,mild,Thu,low
korean,city_8,web,family,promo_4,sesame,medium,Mon,mid
italian,city_18,ios,student,promo_4,lemon,mild,Thu,mid
thai,city_13,web,family,promo_7,fish_sauce,medium,Tue,mid
mexican,city_9,tablet,new,promo_5,onion,medium,Thu,high
mexican,city_15,ios,returning,promo_8,onion,medium,Sun,low
italian,city_4,desktop_app,family,promo_5,cheese,mild,Fri,mid
indian,city_17,tablet,family,promo_8,mint,medium,Sun,high
thai,city_9,ios,student,promo_7,lemon,medium,Sun,high
japanese,city_3,android,vip,promo_8,soy,medium,Fri,very_high
korean,city_16,android,new,promo_4,sesame,extra_hot,Sat,mid
italian,city_2,web,budget,promo_6,tomato,none,Wed,mid
chinese,city_18,web,new,promo_8,sesame,medium,Wed,mid
indian,city_11,web,returning,none,cumin,medium,Tue,mid
mediterranean,city_2,android,budget,promo_2,lemon,mild,Wed,mid
thai,city_13,android,returning,promo_5,cilantro,medium,Mon,low
vietnamese,city_4,web,budget,promo_5,fish_sauce,hot,Thu,mid
mexican,city_3,desktop_app,budget,promo_2,lemon,medium,Wed,mid
mediterranean,city_2,android,student,promo_5,cheese,none,Fri,mid
american,city_9,web,family,promo_4,garlic,medium,Mon,low
american,city_16,web,returning,promo_2,lemon,extra_hot,Sun,mid
thai,city_5,ios,family,promo_6,garlic,hot,Sat,mid
mediterranean,city_16,tablet,new,none,tomato,none,Mon,high
american,city_20,ios,budget,promo_2,garlic,extra_hot,Sat,low
mexican,city_3,android,new,promo_4,chili,medium,Wed,low
chinese,city_17,web,vip,promo_5,sesame,extra_hot,Sat,mid
thai,city_18,ios,family,promo_1,cilantro,hot,Fri,mid
american,city_13,android,budget,promo_8,tomato,none,Wed,mid
japanese,city_4,ios,family,promo_1,soy,hot,Mon,very_high
italian,city_12,desktop_app,family,none,cheese,mild,Sat,high
mediterranean,city_8,web,budget,promo_8,tomato,mild,Tue,very_high
japanese,city_15,ios,vip,promo_3,miso,medium,Tue,mid
chinese,city_12,ios,budget,promo_8,miso,none,Wed,mid
vietnamese,city_3,android,vip,promo_2,lemon,hot,Tue,low
vietnamese,city_4,android,student,promo_3,basil,mild,Thu,low
chinese,city_20,ios,new,promo_3,miso,extra_hot,Sat,very_high
vietnamese,city_4,ios,family,promo_7,basil,medium,Fri,mid
japanese,city_17,ios,budget,promo_7,miso,mild,Sun,mid
mediterranean,city_11,web,vip,promo_8,lemon,mild,Thu,mid
american,city_4,web,budget,promo_5,cheese,extra_hot,Mon,low
chinese,city_16,ios,new,promo_2,soy,hot,Fri,mid
american,city_7,web,student,promo_5,onion,none,Sun,mid
american,city_3,web,returning,promo_4,garlic,none,Tue,mid
chinese,city_18,web,new,promo_7,miso,none,Thu,high
mexican,city_5,tablet,vip,none,cilantro,medium,Wed,mid
japanese,city_11,ios,family,promo_2,ginger,extra_hot,Sat,very_high
american,city_20,ios,budget,promo_1,cheese,none,Sun,low
vietnamese,city_10,ios,budget,promo_1,lemon,hot,Sat,mid
thai,city_7,web,budget,promo_2,basil,medium,Fri,mid
american,city_19,web,budget,promo_5,cheese,hot,Mon,mid
chinese,city_2,web,returning,promo_5,ginger,extra_hot,Sun,high
korean,city_10,ios,returning,promo_1,garlic,none,Thu,mid
vietnamese,city_3,ios,vip,promo_4,fish_sauce,mild,Thu,mid
mexican,city_11,desktop_app,returning,promo_3,tomato,medium,Mon,low
korean,city_2,web,vip,promo_5,sesame,none,Thu,high
japanese,city_4,ios,new,promo_6,soy,extra_hot,Sun,high
italian,city_17,ios,new,promo_3,cheese,mild,Wed,mid
vietnamese,city_20,android,family,promo_1,garlic,mild,Tue,mid
japanese,city_7,android,returning,none,garlic,medium,Thu,high
american,city_12,web,new,none,onion,mild,Thu,low
mediterranean,city_11,desktop_app,budget,promo_3,basil,mild,Mon,high
thai,city_11,ios,new,promo_8,basil,mild,Mon,mid
mexican,city_9,ios,vip,promo_4,tomato,hot,Fri,low
thai,city_15,android,family,none,lemon,medium,Mon,low
chinese,city_19,android,family,promo_3,garlic,hot,Sun,high
indian,city_13,tablet,student,promo_3,mint,extra_hot,Sun,mid
chinese,city_7,web,family,promo_4,garlic,none,Tue,very_high
american,city_6,web,student,promo_8,tomato,extra_hot,Sun,high
mexican,city_4,desktop_app,returning,promo_7,cilantro,medium,Mon,mid
japanese,city_14,ios,returning,promo_4,miso,hot,Fri,mid
american,city_9,web,vip,promo_6,tomato,hot,Mon,mid
vietnamese,city_17,android,vip,promo_5,cilantro,medium,Wed,low
vietnamese,city_3,android,returning,promo_7,basil,hot,Fri,low
indian,city_5,desktop_app,student,promo_8,yogurt,extra_hot,Thu,high
italian,city_16,ios,returning,promo_4,lemon,mild,Fri,high
japanese,city_16,ios,budget,promo_8,ginger,extra_hot,Mon,high
chinese,city_10,ios,family,promo_2,soy,hot,Sat,mid
vietnamese,city_11,android,student,promo_1,basil,medium,Tue,low
american,city_19,web,new,promo_8,lemon,none,Tue,low
thai,city_12,ios,student,promo_6,fish_sauce,hot,Fri,mid
japanese,city_10,ios,new,promo_7,ginger,medium,Mon,high
indian,city_20,ios,returning,none,cumin,hot,Tue,high
chinese,city_4,ios,student,promo_5,sesame,none,Sat,high
thai,city_5,web,returning,promo_3,cilantro,mild,Wed,low
mediterranean,city_15,ios,returning,promo_8,oregano,mild,Sat,mid
indian,city_15,tablet,new,promo_2,onion,hot,Tue,mid
american,city_16,web,new,promo_5,tomato,hot,Thu,mid
japanese,city_10,ios,new,promo_1,garlic,mild,Fri,mid
vietnamese,city_3,ios,family,promo_6,fish_sauce,mild,Sun,high
mediterranean,city_1,tablet,family,promo_5,cheese,none,Mon,mid
indian,city_10,desktop_app,family,promo_8,yogurt,medium,Thu,high
mexican,city_10,desktop_app,new,promo_1,chili,hot,Thu,low
vietnamese,city_12,web,returning,promo_1,lemon,medium,Tue,mid
mediterranean,city_6,android,new,promo_7,lemon,none,Fri,high
korean,city_14,ios,new,promo_8,sesame,none,Sun,very_high
vietnamese,city_6,android,student,promo_8,fish_sauce,medium,Thu,mid
american,city_13,ios,student,promo_8,onion,medium,Sun,mid
vietnamese,city_10,ios,new,none,basil,mild,Thu,low
italian,city_1,android,family,promo_6,cheese,mild,Tue,mid
italian,city_18,desktop_app,student,promo_4,lemon,mild,Sat,mid
chinese,city_20,ios,returning,promo_4,miso,hot,Mon,high
vietnamese,city_18,android,budget,promo_3,basil,medium,Mon,mid
italian,city_12,tablet,new,promo_3,yogurt,mild,Mon,mid
