cuisine,city,device,user_segment,promo,fav_ingredient,spice_level,day_of_week,price_bucket
chinese,city_6,android,student,promo_3,soy,extra_hot,Thu,very_high
indian,city_8,desktop_app,student,promo_6,yogurt,hot,Wed,very_high
mediterranean,city_11,desktop_app,vip,promo_3,cheese,none,Wed,mid
japanese,city_19,android,family,promo_5,sesame,mild,Mon,mid
mexican,city_5,desktop_app,student,promo_3,onion,medium,Fri,low
mexican,city_20,web,vip,promo_2,lemon,hot,Fri,mid
vietnamese,city_17,android,budget,promo_6,cilantro,medium,Wed,high
chinese,city_12,web,new,none,soy,mild,Sat,high
american,city_15,web,family,promo_6,lemon,none,Fri,mid
chinese,city_11,web,family,promo_4,garlic,medium,Thu,mid
chinese,city_6,ios,budget,promo_6,garlic,hot,Wed,mid
italian,city_20,tablet,family,promo_7,cheese,medium,Wed,high
chinese,city_9,ios,vip,promo_4,garlic,mild,Mon,mid
thai,city_7,ios,budget,promo_1,fish_sauce,mild,Sat,mid
vietnamese,city_2,ios,budget,promo_2,lemon,medium,Thu,high
thai,city_8,android,vip,promo_8,garlic,medium,Mon,mid
japanese,city_18,web,vip,promo_5,ginger,mild,Sat,mid
japanese,city_17,web,returning,none,garlic,extra_hot,Tue,mid
indian,city_12,android,returning,promo_7,turmeric,extra_hot,Mon,mid
american,city_18,web,new,promo_6,tomato,hot,Sun,mid
japanese,city_7,web,vip,none,soy,extra_hot,Fri,mid
indian,city_14,tablet,budget,promo_7,mint,medium,Fri,mid
mexican,city_3,tablet,vip,promo_6,onion,hot,Sat,high
vietnamese,city_12,web,vip,promo_5,lemon,medium,Sun,low
american,city_4,web,student,promo_2,cheese,hot,Thu,low
thai,city_15,android,new,promo_8,fish_sauce,hot,Wed,high
chinese,city_7,android,new,none,soy,mild,Sat,high
american,city_18,android,family,promo_2,cheese,medium,Fri,mid
vietnamese,city_9,ios,returning,promo_5,basil,hot,Mon,mid
thai,city_16,ios,budget,promo_1,basil,mild,Mon,low
american,city_19,ios,vip,promo_1,garlic,mild,Fri,high
mediterranean,city_18,desktop_app,student,promo_3,basil,none,Mon,mid
mediterranean,city_19,ios,vip,promo_7,oregano,mild,Sat,mid
american,city_20,android,family,promo_1,lemon,hot,Tue,mid
thai,city_4,web,family,promo_3,basil,mild,Thu,low
japanese,city_16,web,budget,promo_6,garlic,medium,Mon,mid
vietnamese,city_10,ios,returning,promo_4,fish_sauce,medium,Wed,low
american,city_15,ios,budget,none,onion,mild,Sun,high
italian,city_16,android,family,none,tomato,medium,Tue,high
japanese,city_1,android,family,promo_4,miso,none,Fri,high
thai,city_16,android,budget,promo_2,basil,medium,Tue,low
japanese,city_5,web,student,promo_5,garlic,medium,Fri,mid
japanese,city_1,android,vip,promo_7,garlic,medium,Sun,high
mediterranean,city_9,ios,student,promo_8,tomato,mild,Sun,mid
italian,city_8,desktop_app,new,promo_1,yogurt,mild,Fri,mid
chinese,city_8,ios,new,promo_6,garlic,none,Sat,high
mexican,city_15,desktop_app,family,promo_1,tomato,medium,Sat,mid
vietnamese,city_15,ios,returning,promo_4,basil,medium,Tue,low
mediterranean,city_12,web,vip,promo_3,lemon,mild,Wed,very_high
american,city_12,web,student,promo_1,tomato,medium,Tue,mid
italian,city_14,desktop_app,family,promo_4,cheese,none,Thu,mid
american,city_2,web,family,promo_8,garlic,medium,Sun,high
mexican,city_12,web,returning,none,tomato,mild,Sat,mid
mexican,city_7,tablet,returning,promo_7,cilantro,hot,Fri,mid
korean,city_10,web,returning,none,sesame,mild,Thu,high
thai,city_4,android,new,none,garlic,hot,Sat,mid
vietnamese,city_13,web,returning,promo_3,fish_sauce,medium,Thu,low
thai,city_19,android,student,promo_4,cilantro,hot,Sun,low
italian,city_9,android,family,promo_3,basil,none,Tue,high
japanese,city_13,web,family,promo_2,sesame,none,Tue,mid
mexican,city_18,web,student,promo_6,cilantro,medium,Sun,mid
chinese,city_2,ios,vip,promo_8,sesame,hot,Thu,high
indian,city_4,desktop_app,student,promo_4,mint,hot,Fri,high
korean,city_5,ios,vip,promo_4,miso,hot,Wed,mid
american,city_20,android,budget,none,garlic,hot,Tue,high
indian,city_19,ios,student,promo_6,yogurt,medium,Thu,mid
thai,city_6,android,new,promo_4,fish_sauce,mild,Tue,mid
indian,city_12,ios,student,none,yogurt,hot,Wed,high
vietnamese,city_19,ios,returning,promo_4,lemon,medium,Tue,low
chinese,city_11,ios,budget,promo_7,soy,mild,Thu,mid
american,city_15,ios,student,promo_7,tomato,mild,Thu,low
italian,city_11,web,student,promo_3,tomato,medium,Tue,high
chinese,city_2,ios,family,promo_4,miso,hot,Mon,high
american,city_13,web,family,promo_5,lemon,extra_hot,Sat,mid
vietnamese,city_16,android,returning,none,cilantro,mild,Mon,low
chinese,city_20,android,returning,promo_1,miso,hot,Thu,high
mexican,city_15,tablet,student,promo_4,tomato,mild,Tue,mid
american,city_12,android,student,promo_4,cheese,extra_hot,Thu,high
chinese,city_6,web,student,promo_5,soy,extra_hot,Wed,high
japanese,city_7,web,new,none,garlic,hot,Tue,very_high
vietnamese,city_14,web,new,promo_5,lemon,mild,Thu,mid
indian,city_9,desktop_app,family,none,cumin,medium,Fri,mid
korean,city_11,web,student,promo_6,soy,medium,Thu,mid
american,city_1,android,returning,promo_4,tomato,extra_hot,Wed,mid
american,city_12,web,budget,promo_4,tomato,hot,Wed,mid
thai,city_20,ios,student,promo_6,fish_sauce,medium,Thu,mid
mexican,city_9,tablet,vip,promo_7,tomato,medium,Sun,high
korean,city_2,android,vip,promo_6,miso,hot,Sat,mid
indian,city_8,web,budget,promo_6,mint,extra_hot,Sun,high
vietnamese,city_14,web,vip,promo_3,basil,hot,Mon,mid
japanese,city_17,ios,vip,promo_6,ginger,extra_hot,Sun,high
chinese,city_19,web,budget,promo_3,garlic,medium,Sat,very_high
japanese,city_19,ios,vip,promo_5,miso,mild,Sat,high
mexican,city_17,android,returning,none,cilantro,medium,Tue,low
mediterranean,city_2,tablet,new,promo_4,yogurt,mild,Thu,mid
japanese,city_8,ios,vip,promo_4,sesame,hot,Wed,high
chinese,city_16,ios,vip,promo_4,soy,none,Sun,high
chinese,city_11,android,budget,promo_4,soy,mild,Fri,mid
indian,city_13,tablet,family,promo_3,turmeric,medium,Sun,high
mexican,city_5,tablet,family,promo_7,chili,medium,Thu,low
japanese,city_2,ios,student,promo_6,miso,medium,Sun,mid
indian,city_1,tablet,vip,promo_4,turmeric,hot,Mon,high
thai,city_6,android,new,promo_7,basil,medium,Thu,mid
italian,city_5,desktop_app,returning,promo_5,cheese,none,Sun,mid
mexican,city_10,tablet,student,promo_3,lemon,medium,Sun,low
thai,city_20,ios,vip,promo_5,basil,hot,Sun,high
indian,city_7,ios,new,promo_6,cumin,medium,Thu,mid
chinese,city_12,ios,new,none,garlic,none,Sun,very_high
indian,city_13,web,family,promo_2,mint,hot,Sun,high
vietnamese,city_4,ios,returning,promo_3,cilantro,mild,Fri,mid
mexican,city_13,ios,budget,promo_2,onion,hot,Sun,low
chinese,city_14,web,budget,promo_8,sesame,none,Wed,mid
indian,city_1,web,budget,promo_4,yogurt,medium,Tue,high
mediterranean,city_6,desktop_app,family,promo_7,cheese,none,Wed,mid
american,city_8,web,new,none,tomato,medium,Sun,mid
indian,city_11,ios,new,promo_5,yogurt,medium,Fri,high
mediterranean,city_19,ios,returning,promo_4,cheese,mild,Mon,mid
japanese,city_8,web,student,promo_1,ginger,extra_hot,Sat,high
italian,city_18,android,family,none,basil,none,Wed,mid
italian,city_19,ios,new,promo_4,lemon,none,Sat,mid
mexican,city_11,ios,new,promo_2,chili,medium,Mon,low
thai,city_2,ios,returning,promo_2,cilantro,mild,Tue,mid
american,city_18,ios,budget,none,garlic,hot,Sun,mid
japanese,city_16,ios,new,promo_4,miso,extra_hot,Thu,high
vietnamese,city_13,android,student,none,fish_sauce,mild,Sun,low
thai,city_13,android,student,promo_5,garlic,medium,Mon,high
italian,city_7,desktop_app,student,promo_3,lemon,mild,Sun,mid
mediterranean,city_2,android,student,promo_7,oregano,none,Tue,mid
thai,city_5,web,family,promo_3,fish_sauce,medium,Thu,low
mexican,city_6,tablet,family,promo_3,tomato,medium,Sun,mid
indian,city_10,android,student,promo_7,turmeric,extra_hot,Thu,very_high
italian,city_17,web,returning,promo_3,yogurt,none,Wed,mid
vietnamese,city_16,web,family,promo_8,fish_sauce,medium,Wed,high
mediterranean,city_8,tablet,vip,promo_3,yogurt,none,Mon,mid
japanese,city_11,web,student,promo_1,sesame,hot,Fri,high
chinese,city_5,ios,budget,promo_3,ginger,extra_hot,Fri,high
vietnamese,city_18,android,family,promo_2,lemon,medium,Sat,low
japanese,city_17,ios,new,promo_2,garlic,hot,Sat,high
vietnamese,city_6,ios,family,promo_2,lemon,medium,Sat,mid
chinese,city_3,ios,returning,promo_1,ginger,none,Tue,high
chinese,city_6,ios,new,promo_5,garlic,hot,Wed,mid
indian,city_2,android,vip,promo_4,turmeric,medium,Sat,high
italian,city_1,android,budget,promo_4,tomato,mild,Wed,mid
american,city_4,android,family,promo_2,onion,mild,Mon,mid
mexican,city_11,desktop_app,returning,promo_1,tomato,medium,Sun,low
mexican,city_7,ios,returning,promo_7,chili,hot,Mon,low
indian,city_14,android,vip,promo_3,cumin,extra_hot,Wed,mid
thai,city_15,ios,family,none,lemon,hot,Sat,mid
chinese,city_1,ios,returning,promo_1,sesame,none,Sun,mid
chinese,city_18,android,new,promo_4,soy,extra_hot,Mon,mid
italian,city_12,web,student,promo_6,lemon,medium,Thu,very_high
japanese,city_7,ios,student,promo_7,ginger,mild,Sat,high
japanese,city_19,ios,returning,promo_2,ginger,extra_hot,Thu,high
mediterranean,city_6,web,returning,promo_6,cheese,medium,Sun,very_high
chinese,city_1,web,student,promo_7,soy,extra_hot,Tue,high
chinese,city_16,web,returning,promo_3,miso,medium,Sun,mid
american,city_7,web,returning,promo_2,lemon,none,Mon,mid
italian,city_7,ios,returning,promo_4,oregano,mild,Tue,very_high
thai,city_16,ios,family,promo_1,garlic,mild,Tue,mid
vietnamese,city_1,android,returning,none,basil,mild,Fri,high
chinese,city_2,web,budget,promo_8,garlic,hot,Mon,high
italian,city_11,desktop_app,student,promo_2,oregano,none,Mon,very_high
thai,city_18,android,new,promo_1,fish_sauce,medium,Wed,low
vietnamese,city_15,android,student,promo_7,cilantro,medium,Thu,mid
mediterranean,city_3,ios,new,promo_3,tomato,none,Mon,high
thai,city_17,ios,vip,promo_8,lemon,hot,Fri,mid
vietnamese,city_10,android,student,promo_7,cilantro,mild,Sun,low
mexican,city_13,tablet,vip,promo_4,tomato,medium,Tue,mid
mediterranean,city_12,ios,budget,promo_1,cheese,none,Thu,mid
italian,city_2,ios,new,promo_7,yogurt,none,Sun,high
indian,city_20,web,family,promo_3,onion,medium,Thu,high
mediterranean,city_13,tablet,family,promo_2,basil,none,Wed,mid
indian,city_19,tablet,vip,promo_5,yogurt,hot,Sun,mid
japanese,city_5,android,vip,promo_6,soy,mild,Fri,high
american,city_3,android,budget,promo_6,onion,mild,Mon,low
italian,city_19,android,budget,promo_7,oregano,mild,Fri,high
american,city_18,android,vip,promo_2,garlic,none,Tue,mid
italian,city_12,android,returning,promo_8,oregano,medium,Fri,mid
italian,city_4,desktop_app,returning,promo_6,lemon,none,Sat,very_high
thai,city_7,android,new,promo_6,cilantro,hot,Thu,mid
japanese,city_6,web,returning,promo_8,soy,extra_hot,Sat,mid
indian,city_18,tablet,new,promo_4,mint,hot,Wed,mid
indian,city_10,ios,new,promo_7,cumin,hot,Thu,high
chinese,city_18,ios,student,promo_2,garlic,medium,Wed,high
korean,city_8,android,family,promo_5,miso,hot,Mon,very_high
chinese,city_15,ios,new,promo_4,sesame,medium,Tue,mid
italian,city_16,android,budget,promo_8,tomato,mild,Mon,mid
american,city_13,android,student,promo_3,lemon,medium,Tue,high
mexican,city_18,desktop_app,student,promo_6,tomato,hot,Sun,low
italian,city_8,tablet,new,promo_5,lemon,mild,Wed,mid
mexican,city_18,ios,budget,promo_3,cilantro,medium,Fri,mid
vietnamese,city_5,web,student,promo_1,lemon,mild,Sun,mid
mediterranean,city_10,android,budget,promo_5,lemon,mild,Thu,high
indian,city_3,desktop_app,returning,promo_2,turmeric,medium,Fri,mid
thai,city_1,android,student,promo_3,fish_sauce,medium,Mon,high
italian,city_18,tablet,new,promo_7,basil,mild,Thu,high
vietnamese,city_11,android,family,none,lemon,medium,Sat,low
chinese,city_16,ios,budget,promo_5,soy,mild,Mon,mid
chinese,city_3,ios,family,promo_7,soy,hot,Mon,high
chinese,city_17,web,vip,promo_2,garlic,hot,Tue,very_high
japanese,city_12,web,vip,promo_6,ginger,mild,Mon,mid
thai,city_4,web,returning,promo_7,cilantro,medium,Fri,mid
chinese,city_13,ios,family,promo_4,garlic,hot,Thu,mid
korean,city_4,web,returning,promo_2,garlic,mild,Tue,mid
chinese,city_10,ios,budget,promo_3,garlic,none,Thu,high
chinese,city_17,ios,returning,none,sesame,extra_hot,Sat,high
american,city_14,web,family,promo_1,cheese,mild,Thu,high
indian,city_16,tablet,budget,promo_6,cumin,medium,Tue,very_high
japanese,city_3,ios,student,promo_3,garlic,medium,Mon,mid
american,city_13,web,student,promo_8,cheese,medium,Fri,high
japanese,city_2,ios,vip,promo_8,ginger,mild,Tue,high
vietnamese,city_2,android,vip,promo_1,garlic,mild,Fri,low
mexican,city_5,tablet,budget,promo_8,tomato,mild,Wed,mid
chinese,city_18,ios,family,promo_8,soy,medium,Sun,mid
mediterranean,city_15,tablet,budget,promo_3,tomato,none,Thu,high
italian,city_10,web,vip,promo_7,basil,none,Thu,mid
thai,city_12,web,budget,promo_2,fish_sauce,hot,Sun,low
italian,city_4,tablet,new,promo_2,tomato,mild,Fri,mid
chinese,city_12,web,student,promo_2,miso,hot,Thu,mid
vietnamese,city_17,ios,family,none,lemon,mild,Wed,low
mexican,city_12,ios,student,promo_2,onion,mild,Sat,low
chinese,city_16,ios,student,promo_8,ginger,hot,Tue,mid
american,city_10,web,vip,promo_3,tomato,hot,Wed,mid
mediterranean,city_16,web,budget,none,basil,mild,Thu,mid
mediterranean,city_17,web,new,none,oregano,none,Fri,high
japanese,city_15,web,vip,promo_3,soy,extra_hot,Thu,mid
indian,city_13,ios,new,none,turmeric,medium,Wed,high
american,city_7,web,returning,promo_4,garlic,medium,Sun,mid
american,city_9,android,new,promo_2,garlic,none,Thu,high
american,city_14,web,family,promo_4,garlic,hot,Mon,mid
chinese,city_18,android,returning,promo_6,miso,medium,Sun,mid
mexican,city_1,web,returning,promo_2,cilantro,hot,Wed,mid
mexican,city_13,web,returning,promo_7,cilantro,medium,Wed,mid
american,city_16,web,new,promo_6,garlic,hot,Sat,high
italian,city_11,web,new,promo_5,basil,mild,Wed,high
mediterranean,city_3,web,budget,promo_7,basil,none,Wed,mid
american,city_12,web,returning,promo_5,garlic,mild,Tue,high
chinese,city_4,web,new,promo_6,garlic,none,Wed,mid
japanese,city_13,android,family,promo_8,sesame,medium,Mon,very_high
japanese,city_16,ios,student,promo_2,soy,mild,Tue,very_high
thai,city_7,android,vip,promo_6,basil,medium,Sat,mid
italian,city_16,tablet,budget,promo_6,yogurt,none,Fri,very_high
thai,city_9,ios,vip,promo_8,garlic,medium,Fri,mid
mexican,city_5,ios,returning,promo_4,chili,hot,Tue,mid
mexican,city_10,ios,budget,none,tomato,mild,Tue,mid
indian,city_2,tablet,family,promo_5,cumin,medium,Mon,mid
italian,city_13,android,vip,promo_7,cheese,none,Fri,mid
thai,city_3,android,budget,promo_8,basil,mild,Mon,mid
thai,city_19,android,vip,promo_5,basil,medium,Tue,mid
american,city_7,web,budget,promo_7,onion,mild,Mon,high
japanese,city_4,ios,returning,promo_5,ginger,hot,Fri,mid
vietnamese,city_4,android,new,promo_3,lemon,medium,Wed,low
mexican,city_4,tablet,student,promo_2,lemon,medium,Tue,low
american,city_15,web,family,promo_5,cheese,hot,Sun,mid
indian,city_2,tablet,family,promo_1,mint,medium,Sun,mid
italian,city_9,web,vip,promo_5,yogurt,mild,Thu,mid
thai,city_17,android,returning,promo_1,garlic,medium,Tue,low
thai,city_18,android,family,promo_8,cilantro,medium,Sun,mid
mexican,city_16,web,family,promo_3,lemon,medium,Sat,high
mexican,city_20,ios,new,none,cilantro,medium,Thu,low
italian,city_2,tablet,student,promo_6,tomato,none,Mon,mid
mediterranean,city_12,desktop_app,vip,none,yogurt,mild,Tue,high
chinese,city_7,web,vip,promo_7,ginger,mild,Fri,mid
mexican,city_2,ios,student,promo_5,chili,hot,Tue,mid
japanese,city_6,ios,student,promo_3,soy,medium,Thu,very_high
american,city_2,web,returning,promo_2,garlic,hot,Sat,low
indian,city_8,ios,new,none,yogurt,hot,Mon,mid
korean,city_8,android,vip,promo_3,soy,mild,Fri,mid
thai,city_1,ios,budget,promo_8,cilantro,hot,Thu,mid
thai,city_1,ios,new,promo_2,basil,medium,Sat,mid
chinese,city_6,web,new,promo_6,miso,mild,Sat,high
american,city_10,ios,family,promo_6,tomato,mild,Sun,mid
mediterranean,city_16,ios,new,promo_5,tomato,none,Fri,mid
korean,city_13,ios,vip,promo_2,sesame,medium,Sun,high
vietnamese,city_17,android,vip,promo_2,fish_sauce,medium,Thu,mid
vietnamese,city_1,ios,budget,promo_2,fish_sauce,mild,Mon,high
indian,city_14,desktop_app,vip,promo_6,turmeric,extra_hot,Sun,mid
mexican,city_19,ios,returning,promo_6,tomato,hot,Fri,mid
mediterranean,city_1,desktop_app,vip,promo_6,tomato,none,Sat,high
mediterranean,city_6,tablet,budget,promo_1,lemon,medium,Thu,mid
indian,city_14,desktop_app,new,promo_5,cumin,medium,Wed,mid
chinese,city_14,android,vip,promo_7,miso,none,Wed,high
mediterranean,city_5,tablet,student,promo_5,oregano,none,Sat,high
mexican,city_6,android,new,promo_3,lemon,medium,Wed,mid
italian,city_19,web,budget,promo_5,lemon,medium,Mon,mid
korean,city_8,android,returning,promo_4,garlic,mild,Thu,very_high
indian,city_14,tablet,new,promo_8,turmeric,medium,Fri,high
japanese,city_17,ios,family,none,ginger,mild,Mon,high
american,city_16,android,returning,promo_2,garlic,none,Mon,high
thai,city_17,web,family,promo_4,basil,hot,Sun,mid
vietnamese,city_1,android,family,promo_1,cilantro,medium,Sat,low
thai,city_10,web,vip,promo_1,lemon,medium,Tue,low
thai,city_17,android,family,promo_8,lemon,medium,Tue,mid
american,city_7,android,new,promo_5,onion,extra_hot,Tue,high
mediterranean,city_7,ios,vip,promo_1,yogurt,mild,Tue,mid
mexican,city_20,ios,family,promo_2,onion,hot,Mon,low
thai,city_10,ios,family,promo_5,garlic,hot,Sun,low
mexican,city_15,web,student,promo_5,tomato,medium,Tue,mid
mexican,city_20,tablet,family,promo_2,onion,medium,Tue,high
vietnamese,city_8,android,vip,promo_5,fish_sauce,medium,Sat,mid
korean,city_3,web,family,promo_8,sesame,none,Fri,very_high
korean,city_20,web,returning,promo_7,soy,extra_hot,Thu,mid
italian,city_18,android,vip,promo_1,yogurt,mild,Sun,mid
italian,city_4,tablet,student,promo_2,yogurt,none,Mon,high
thai,city_14,web,family,promo_2,basil,medium,Sun,low
japanese,city_11,android,budget,promo_7,sesame,medium,Sat,high
italian,city_18,ios,budget,promo_8,cheese,mild,Sat,mid
mexican,city_5,android,new,promo_2,tomato,medium,Mon,mid
american,city_7,android,family,promo_5,lemon,hot,Tue,mid
italian,city_5,web,budget,promo_4,cheese,none,Wed,mid
vietnamese,city_19,ios,new,promo_3,garlic,mild,Fri,high
thai,city_15,web,returning,promo_4,basil,medium,Sun,mid
italian,city_3,desktop_app,new,promo_2,basil,none,Thu,high
thai,city_2,web,returning,promo_1,basil,medium,Thu,low
italian,city_8,desktop_app,vip,promo_1,tomato,mild,Mon,very_high
chinese,city_2,ios,vip,promo_2,miso,extra_hot,Sat,very_high
italian,city_14,ios,family,promo_6,yogurt,mild,Wed,mid
japanese,city_8,ios,budget,promo_1,soy,hot,Sat,mid
italian,city_13,desktop_app,returning,promo_5,tomato,mild,Sat,mid
korean,city_15,ios,new,promo_1,miso,medium,Wed,mid
mexican,city_11,tablet,student,promo_7,lemon,medium,Sat,low
chinese,city_13,ios,family,promo_7,sesame,hot,Sun,high
japanese,city_7,android,vip,promo_7,soy,mild,Sat,mid
chinese,city_4,ios,budget,promo_1,miso,extra_hot,Sun,high
chinese,city_8,android,budget,promo_5,garlic,medium,Mon,high
vietnamese,city_11,web,student,none,lemon,hot,Sun,mid
thai,city_8,android,budget,promo_1,fish_sauce,medium,Tue,mid
vietnamese,city_10,android,new,promo_2,garlic,medium,Wed,low
thai,city_12,web,new,promo_7,cilantro,hot,Mon,low
thai,city_2,android,family,promo_5,fish_sauce,mild,Sat,mid
mediterranean,city_6,web,budget,promo_5,yogurt,none,Wed,mid
thai,city_20,android,family,promo_7,basil,medium,Tue,mid
japanese,city_2,ios,returning,promo_1,sesame,none,Fri,mid
american,city_12,web,family,promo_1,garlic,medium,Thu,mid
thai,city_17,android,returning,promo_6,basil,hot,Mon,mid
american,city_8,web,vip,promo_2,lemon,medium,Sun,mid
indian,city_17,android,budget,promo_7,mint,hot,Mon,mid
vietnamese,city_7,ios,new,promo_7,garlic,mild,Wed,high
mediterranean,city_19,ios,student,promo_7,basil,mild,Thu,mid
italian,city_13,ios,new,promo_2,oregano,medium,Wed,high
chinese,city_5,android,student,promo_3,soy,extra_hot,Fri,very_high
mediterranean,city_7,android,vip,promo_6,basil,mild,Wed,very_high
american,city_5,android,budget,promo_7,tomato,none,Mon,low
indian,city_11,android,new,promo_5,yogurt,hot,Thu,high
vietnamese,city_14,android,budget,promo_5,lemon,medium,Mon,mid
american,city_13,android,new,promo_7,cheese,hot,Mon,low
american,city_16,web,student,promo_8,onion,none,Wed,mid
chinese,city_18,ios,vip,promo_1,soy,mild,Fri,mid
korean,city_15,ios,new,promo_3,garlic,hot,Thu,very_high
japanese,city_20,android,new,none,ginger,mild,Tue,high
american,city_11,web,returning,none,onion,extra_hot,Sat,mid
japanese,city_15,android,vip,promo_8,miso,extra_hot,Sat,high
chinese,city_12,android,budget,promo_2,soy,medium,Thu,very_high
american,city_9,ios,new,promo_2,tomato,medium,Wed,mid
korean,city_10,ios,returning,promo_2,soy,mild,Tue,mid
american,city_2,web,returning,promo_7,cheese,mild,Fri,mid
american,city_2,web,budget,promo_7,onion,hot,Sat,mid
vietnamese,city_14,android,student,promo_8,basil,mild,Sat,high
chinese,city_11,web,student,promo_1,sesame,mild,Thu,mid
mexican,city_10,tablet,returning,promo_3,tomato,medium,Tue,low
american,city_7,android,vip,none,lemon,none,Mon,mid
japanese,city_8,ios,budget,none,sesame,mild,Thu,mid
chinese,city_16,ios,new,promo_3,garlic,medium,Sat,high
japanese,city_8,ios,student,promo_1,sesame,hot,Thu,very_high
thai,city_4,ios,budget,none,basil,medium,Fri,mid
chinese,city_3,ios,student,promo_1,sesame,extra_hot,Mon,mid
thai,city_9,ios,new,none,basil,medium,Sun,mid
japanese,city_5,android,new,promo_4,ginger,extra_hot,Sun,mid
chinese,city_16,ios,vip,promo_8,miso,mild,Fri,high
chinese,city_1,android,new,promo_4,miso,mild,Sun,high
italian,city_2,desktop_app,returning,promo_6,cheese,mild,Fri,mid
italian,city_16,desktop_app,vip,promo_1,lemon,none,Fri,mid
korean,city_17,android,returning,promo_8,soy,medium,Tue,high
indian,city_2,desktop_app,new,promo_4,mint,hot,Mon,high
japanese,city_11,android,family,promo_6,miso,mild,Tue,mid
mediterranean,city_8,ios,student,promo_5,oregano,mild,Sat,mid
american,city_11,web,vip,promo_4,onion,extra_hot,Tue,low
american,city_9,web,returning,promo_7,onion,extra_hot,Fri,mid
american,city_19,web,vip,promo_1,tomato,extra_hot,Wed,mid
thai,city_19,web,returning,none,basil,medium,Mon,mid
mexican,city_13,desktop_app,family,promo_2,tomato,medium,Mon,mid
thai,city_9,ios,budget,promo_3,fish_sauce,medium,Sat,mid
mexican,city_3,desktop_app,returning,promo_4,tomato,hot,Mon,mid
korean,city_19,android,vip,promo_3,sesame,none,Thu,mid
chinese,city_12,android,vip,promo_4,ginger,extra_hot,Sun,mid
japanese,city_8,ios,vip,promo_5,sesame,hot,Thu,mid
vietnamese,city_12,ios,student,promo_6,fish_sauce,mild,Sun,low
vietnamese,city_2,android,family,promo_6,garlic,medium,Mon,low
american,city_13,android,returning,promo_1,lemon,hot,Wed,high
italian,city_17,web,new,promo_3,lemon,none,Thu,high
vietnamese,city_1,android,family,promo_7,fish_sauce,medium,Tue,low
thai,city_20,ios,vip,promo_2,lemon,hot,Mon,mid
mediterranean,city_16,desktop_app,budget,promo_1,oregano,medium,Tue,mid
thai,city_15,android,vip,none,lemon,medium,Fri,mid
american,city_12,web,student,promo_3,onion,mild,Mon,mid
mediterranean,city_16,android,student,promo_3,tomato,none,Sat,high
thai,city_13,ios,vip,promo_4,garlic,medium,Wed,mid
thai,city_11,android,family,promo_2,lemon,medium,Sun,mid
